Nodes,Edges,ExecutionTime(s),MemoryUsage(KB)
10,20,0.000020,0.394531
50,200,0.000131,2.972656
100,500,0.000609,7.074219
500,2000,0.002284,29.339844
1000,5000,0.002953,70.355469
2000,10000,0.007535,140.667969
